,Jurisdiction,year,County,DiversionRateHouse,DiversionRateNoOfEmployee,Bins,D.R.E_category,D.R.H_category,Population,MedianAge,Latino,White,Black,Asian,LaberFocre,LaberForceEmplyed,LaberForceUnemployed,UnemploymentRate,FemalesEmploymentRate,CoummuteTime,MedianIncome,PovertyRate,TotalUnit,1-UnitDetached,1-UnitAttached,MoreThan20UnitsInStructure,MedianNoOfRooms,MedianHouseValue,MedianGrossRent
100,Escalon,2013,San Joaquin,0.788135593220339,0.7611386138613861,"(0.65, 0.8]",Good,Good,7054.0,38.4,25.4,70.2,0.9,1.7,3820.0,3376.0,444.0,11.6,60.9,30.5,65457.0,9.0,2809.0,84.9,0.5,1.0,5.6,306900.0,792.0
101,Escondido,2013,San Diego,0.5338983050847458,0.4606060606060606,"(0.5, 0.65]",Low,Okay,140998.0,33.1,46.2,43.9,1.7,5.7,68850.0,63284.0,5566.0,8.1,54.1,27.4,51675.0,15.6,47411.0,50.8,6.2,13.1,5.2,404900.0,1116.0
102,Eureka,2013,Humboldt,0.5538461538461539,0.5,"(0.5, 0.65]",Low,Okay,26954.0,37.5,11.1,75.8,1.9,3.2,13357.0,12182.0,1175.0,8.8,54.5,14.7,34950.0,21.1,12295.0,63.7,3.8,3.6,4.8,288800.0,764.0
103,Fairfield,2013,Solano,0.7588235294117647,0.722466960352423,"(0.65, 0.8]",Good,Good,103698.0,32.8,25.9,35.3,16.2,15.2,50811.0,45973.0,4838.0,9.5,61.3,28.8,68009.0,11.0,36283.0,69.0,6.5,6.9,5.8,392700.0,1172.0
104,Ferndale,2013,Humboldt,0.4117647058823529,0.5559701492537313,"(0.0, 0.5]",Okay,Low,1693.0,43.0,5.6,87.7,0.0,0.2,881.0,839.0,42.0,4.8,62.0,18.0,64107.0,7.3,738.0,82.4,2.3,1.4,5.8,441000.0,904.0
105,Fillmore,2013,Ventura,0.6224489795918368,0.7024128686327078,"(0.5, 0.65]",Good,Okay,14721.0,33.3,73.9,22.9,0.2,2.3,6815.0,6321.0,494.0,7.2,53.7,31.8,58076.0,11.4,4491.0,72.6,5.3,4.4,5.4,410100.0,1138.0
106,Firebaugh,2013,Fresno,0.6372549019607843,0.7975871313672922,"(0.5, 0.65]",Good,Okay,7373.0,26.9,90.0,9.3,0.1,0.6,3036.0,2486.0,550.0,18.1,48.8,24.3,30000.0,33.5,2179.0,63.7,5.1,2.8,4.8,170500.0,627.0
107,Folsom,2013,Sacramento,0.7428571428571429,0.7251908396946565,"(0.65, 0.8]",Good,Good,69068.0,36.4,11.4,66.7,7.3,11.9,32917.0,30535.0,2382.0,7.2,65.6,25.7,94642.0,3.7,23958.0,70.9,3.1,6.7,6.1,461200.0,1255.0
108,Fontana,2013,San Bernardino,0.6833333333333333,0.6333333333333333,"(0.65, 0.8]",Okay,Good,189466.0,28.4,65.8,15.9,9.3,6.1,91473.0,82024.0,9449.0,10.3,58.9,31.3,63252.0,12.5,49967.0,80.2,2.4,5.2,5.9,346700.0,1083.0
109,Fort Bragg,2013,Mendocino,0.5789473684210527,0.5485436893203883,"(0.5, 0.65]",Okay,Okay,7196.0,40.5,32.0,61.0,0.1,0.8,3452.0,3074.0,378.0,11.0,55.1,14.3,34570.0,26.1,3313.0,62.7,4.5,4.3,4.6,375700.0,904.0
110,Fortuna,2013,Humboldt,0.5930232558139534,0.5838709677419355,"(0.5, 0.65]",Okay,Okay,11646.0,38.2,13.2,77.9,1.1,2.7,4776.0,4509.0,267.0,5.6,46.5,20.5,38712.0,19.1,4684.0,66.7,3.2,2.3,5.2,302400.0,781.0
111,Foster City,2013,San Mateo,0.6486486486486487,0.7112676056338028,"(0.5, 0.65]",Good,Okay,29746.0,39.0,6.3,43.6,1.8,42.8,16207.0,15321.0,886.0,5.5,62.4,26.4,111563.0,4.4,12268.0,37.4,21.2,19.8,5.2,851900.0,1918.0
112,Fountain Valley,2013,Orange,0.6521739130434783,0.6162790697674418,"(0.65, 0.8]",Okay,Good,54961.0,42.6,11.9,50.1,1.1,33.4,29114.0,27223.0,1891.0,6.5,57.5,25.5,79364.0,6.2,19170.0,65.8,9.8,8.0,6.1,644200.0,1451.0
113,Fowler,2013,Fresno,0.8763157894736842,0.871,"(0.8, 1.0]",Great,Great,5305.0,30.9,64.1,23.0,1.4,10.3,2587.0,2302.0,285.0,11.0,54.0,18.5,56750.0,20.1,1738.0,71.8,1.4,3.3,5.1,245100.0,723.0
114,Fremont,2013,Alameda,0.7272727272727273,0.7236024844720497,"(0.65, 0.8]",Good,Good,209235.0,36.8,14.1,29.3,3.1,49.0,110431.0,103208.0,7223.0,6.5,59.7,29.0,96287.0,5.2,74218.0,58.5,13.4,17.2,5.4,641900.0,1456.0
115,Fresno,2013,Fresno,0.6893939393939394,0.6580645161290323,"(0.65, 0.8]",Good,Good,484008.0,28.9,45.7,31.7,7.5,12.2,224259.0,196453.0,27806.0,12.4,57.8,20.8,43124.0,24.9,169066.0,60.9,2.7,6.9,5.0,244200.0,832.0
117,Fullerton,2013,Orange,0.7215189873417722,0.7205128205128205,"(0.65, 0.8]",Good,Good,132872.0,34.5,32.8,38.6,2.8,23.0,69813.0,64575.0,5238.0,7.5,59.8,26.5,67179.0,11.3,47956.0,50.6,10.1,15.4,4.9,582600.0,1275.0
118,Galt,2013,Sacramento,0.6829268292682926,0.6372549019607843,"(0.65, 0.8]",Okay,Good,23074.0,32.7,42.5,52.4,0.6,1.4,11098.0,10031.0,1067.0,9.6,60.5,28.2,58476.0,12.2,7549.0,83.7,6.6,1.4,5.5,308500.0,1178.0
119,Garden Grove,2013,Orange,0.5227272727272727,0.5287356321839081,"(0.5, 0.65]",Okay,Okay,169009.0,34.9,37.9,23.1,0.9,35.7,84391.0,76208.0,8183.0,9.7,57.6,27.1,61026.0,12.9,47454.0,57.1,8.4,10.0,5.0,472900.0,1284.0
120,Gardena,2013,Los Angeles,0.5125,0.5796460176991151,"(0.5, 0.65]",Okay,Okay,58668.0,37.2,36.6,9.6,22.2,27.7,28831.0,26131.0,2700.0,9.4,56.9,26.0,46837.0,15.9,22254.0,45.0,6.4,12.7,4.3,417800.0,998.0
121,Gilroy,2013,Santa Clara,0.6370967741935484,0.5807453416149069,"(0.5, 0.65]",Okay,Okay,46807.0,32.7,57.4,32.2,1.3,6.4,23340.0,21272.0,2068.0,8.9,61.4,28.9,71340.0,8.7,14772.0,67.3,6.0,4.5,5.8,592300.0,1167.0
122,Glendale,2013,Los Angeles,0.6636363636363636,0.6888111888111887,"(0.65, 0.8]",Good,Good,192190.0,40.6,16.8,63.5,1.7,16.2,101626.0,93467.0,8159.0,8.0,56.5,25.6,54677.0,13.0,75007.0,36.4,4.7,21.6,4.1,635100.0,1220.0
123,Glendora,2013,Los Angeles,0.6481481481481481,0.6104972375690608,"(0.5, 0.65]",Okay,Okay,49882.0,39.2,28.2,60.6,2.0,7.0,24901.0,22994.0,1907.0,7.7,56.3,29.3,75954.0,6.5,17184.0,73.9,7.9,4.6,5.8,529200.0,1300.0
124,Grand Terrace,2013,San Bernardino,0.6326530612244898,0.5201612903225806,"(0.5, 0.65]",Okay,Okay,12115.0,37.3,36.3,50.1,3.9,8.1,6677.0,6132.0,545.0,8.2,62.2,23.7,62335.0,3.9,4634.0,62.2,2.7,4.4,5.5,335200.0,1140.0
125,Grass Valley,2013,Nevada,0.7916666666666667,0.7916666666666666,"(0.65, 0.8]",Good,Good,12765.0,41.2,14.4,79.0,0.9,2.0,5457.0,4988.0,469.0,8.6,45.5,15.6,35385.0,16.3,6087.0,44.6,3.0,13.0,4.3,346100.0,902.0
126,Guadalupe,2013,Santa Barbara,0.42999999999999994,0.4429429429429429,"(0.0, 0.5]",Low,Low,6770.0,30.8,84.8,11.2,0.7,2.2,3376.0,3149.0,227.0,6.7,60.7,21.7,42978.0,14.8,2007.0,60.9,9.9,2.2,4.9,270100.0,934.0
127,Half Moon Bay,2013,San Mateo,0.5478723404255319,0.5688259109311741,"(0.5, 0.65]",Okay,Okay,11126.0,42.1,29.7,63.6,1.0,4.0,6180.0,5712.0,468.0,7.6,61.5,26.7,92875.0,6.5,4245.0,62.6,12.5,3.9,5.7,753900.0,1545.0
128,Hawaiian Gardens,2013,Los Angeles,0.5945945945945946,0.6779661016949152,"(0.5, 0.65]",Good,Okay,14328.0,30.1,74.1,10.3,3.0,10.5,6907.0,6421.0,486.0,7.0,50.2,23.9,52034.0,15.8,3938.0,46.9,14.0,11.0,4.6,351000.0,1077.0
129,Hawthorne,2013,Los Angeles,0.7019230769230769,0.7479338842975207,"(0.65, 0.8]",Good,Good,84195.0,30.8,51.2,11.5,28.0,6.4,41718.0,38773.0,2945.0,7.1,60.0,28.9,44469.0,16.1,30102.0,29.2,4.4,31.8,3.9,501400.0,972.0
130,Hayward,2013,Alameda,0.7285714285714286,0.7074829931972789,"(0.65, 0.8]",Good,Good,141498.0,33.4,39.3,19.8,11.8,23.0,75577.0,66877.0,8700.0,11.5,62.3,27.8,61268.0,12.5,48947.0,52.2,8.5,16.0,4.8,434000.0,1224.0
131,Hemet,2013,Riverside,0.7214285714285714,0.6472868217054264,"(0.65, 0.8]",Okay,Good,76403.0,38.8,36.3,53.3,3.9,2.6,28300.0,23853.0,4447.0,15.7,41.8,31.0,35306.0,18.0,33981.0,48.0,4.4,7.3,4.9,156600.0,949.0
132,Hesperia,2013,San Bernardino,0.7413793103448276,0.7026239067055393,"(0.65, 0.8]",Good,Good,86405.0,29.0,47.2,42.8,5.1,2.1,37013.0,31313.0,5700.0,15.4,51.5,38.4,48386.0,19.2,26965.0,80.9,2.4,1.9,5.8,250900.0,1033.0
133,Highland,2013,San Bernardino,0.675,0.8228260869565217,"(0.65, 0.8]",Great,Good,52341.0,29.7,48.4,33.0,8.9,6.6,23919.0,21349.0,2570.0,10.7,58.8,24.2,59549.0,17.3,15752.0,76.4,1.8,4.9,5.5,334200.0,967.0
134,Hillsborough,2013,San Mateo,0.7615384615384615,0.7431506849315068,"(0.65, 0.8]",Good,Good,10650.0,47.3,2.5,65.3,0.9,27.2,4577.0,4322.0,255.0,5.6,41.5,25.1,209231.0,2.8,3885.0,97.8,1.9,0.0,9.0,1000000.0,2000.0
136,Huntington Beach,2013,Orange,0.7692307692307693,0.7756410256410257,"(0.65, 0.8]",Good,Good,188914.0,39.8,17.2,68.6,0.6,10.7,106883.0,99448.0,7435.0,7.0,61.5,26.2,80280.0,7.0,79166.0,49.4,11.7,11.2,5.4,689400.0,1464.0
137,Huntington Park,2013,Los Angeles,0.6481481481481481,0.7271186440677966,"(0.5, 0.65]",Good,Okay,58642.0,28.8,97.4,1.3,0.2,0.8,27062.0,24870.0,2192.0,8.1,53.3,29.6,37224.0,24.0,15321.0,41.4,13.4,13.8,3.6,397700.0,852.0
138,Huron,2013,Fresno,0.4821428571428571,0.6308411214953271,"(0.0, 0.5]",Okay,Low,6691.0,21.8,100.0,0.0,0.0,0.0,2304.0,1912.0,392.0,17.0,45.4,22.3,20410.0,54.5,1689.0,31.5,5.9,0.0,4.6,158700.0,505.0
139,Imperial Beach,2013,San Diego,0.6375,0.694300518134715,"(0.5, 0.65]",Good,Okay,26254.0,29.6,49.4,36.4,4.5,5.9,12221.0,11041.0,1180.0,9.7,58.0,25.9,45418.0,19.5,10663.0,39.4,7.8,12.8,4.1,405600.0,1073.0
140,Indian Wells,2013,Riverside,0.7558139534883721,0.696078431372549,"(0.65, 0.8]",Good,Good,4858.0,68.0,7.6,88.6,1.8,0.9,1668.0,1571.0,97.0,5.8,32.3,20.1,131250.0,3.8,5172.0,65.5,22.2,3.8,6.1,755400.0,957.0
141,Indio,2013,Riverside,0.7931034482758621,0.6980337078651686,"(0.65, 0.8]",Good,Good,72486.0,30.7,65.7,26.2,2.2,1.4,34011.0,30363.0,3648.0,10.7,56.9,20.6,51921.0,19.7,27796.0,64.9,4.6,2.8,5.1,286400.0,926.0
142,Industry,2013,Los Angeles,0.5599259602036094,0.715625,"(0.5, 0.65]",Good,Okay,368.0,52.1,37.0,38.3,8.2,16.6,114.0,103.0,11.0,9.6,29.3,18.8,75521.0,37.3,75.0,97.3,0.0,0.0,5.2,366700.0,819.0
143,Inglewood,2013,Los Angeles,0.6730769230769231,0.6944444444444444,"(0.65, 0.8]",Good,Good,110053.0,32.3,49.7,3.3,42.8,1.3,54199.0,49000.0,5199.0,9.6,61.5,28.2,43460.0,19.8,38840.0,38.4,6.0,12.6,4.3,419300.0,985.0
144,Irvine,2013,Orange,0.7178217821782178,0.6666666666666667,"(0.65, 0.8]",Good,Good,199117.0,32.8,9.0,47.4,1.8,37.8,104728.0,98981.0,5747.0,5.5,57.5,22.3,90939.0,10.2,76184.0,37.0,20.2,19.0,4.9,677100.0,1788.0
145,Irwindale,2013,Los Angeles,0.7725450901803608,0.7474226804123711,"(0.65, 0.8]",Good,Good,1443.0,29.5,92.4,5.5,1.0,1.2,681.0,578.0,103.0,15.1,55.6,23.9,59028.0,11.4,392.0,92.1,2.6,0.0,5.4,395100.0,1097.0
146,Isleton,2013,Sacramento,0.603448275862069,0.5457142857142857,"(0.5, 0.65]",Okay,Okay,928.0,46.5,39.9,48.5,1.2,9.1,414.0,362.0,52.0,12.6,51.5,33.9,39583.0,10.0,459.0,56.4,0.0,0.0,4.4,243300.0,700.0
147,Kerman,2013,Fresno,0.5945945945945946,0.6983471074380165,"(0.5, 0.65]",Good,Okay,12708.0,29.7,69.8,21.3,0.0,8.2,5569.0,4923.0,646.0,11.6,50.9,27.6,48973.0,22.0,3696.0,72.2,2.6,4.6,5.0,255400.0,729.0
150,Kingsburg,2013,Fresno,0.5769230769230769,0.5177304964539007,"(0.5, 0.65]",Okay,Okay,11041.0,29.5,46.7,44.2,0.1,5.2,5257.0,4727.0,530.0,10.1,53.2,18.8,55218.0,15.8,3817.0,72.9,1.2,5.3,5.3,252800.0,878.0
152,La Habra,2013,Orange,0.6846153846153846,0.7142857142857143,"(0.65, 0.8]",Good,Good,59772.0,33.0,56.7,31.8,2.0,7.5,31513.0,29223.0,2290.0,7.3,61.5,27.9,62078.0,10.8,19559.0,52.7,7.6,15.5,4.8,472400.0,1242.0
153,La Habra Heights,2013,Los Angeles,0.5985915492957746,0.6956349206349206,"(0.5, 0.65]",Good,Okay,5278.0,45.1,21.2,61.0,0.0,14.8,2386.0,2252.0,134.0,5.6,45.7,27.3,121380.0,2.1,1856.0,96.6,3.4,0.0,7.4,906500.0,986.0
154,La Mesa,2013,San Diego,0.717741935483871,0.6992753623188406,"(0.65, 0.8]",Good,Good,56250.0,38.0,17.3,63.7,6.7,6.5,30393.0,27735.0,2658.0,8.7,62.2,22.3,52932.0,11.7,25827.0,47.7,6.1,18.5,4.5,437000.0,1137.0
155,La Mirada,2013,Los Angeles,0.5961538461538461,0.565068493150685,"(0.5, 0.65]",Okay,Okay,48174.0,36.4,39.8,38.0,1.9,17.2,23563.0,21863.0,1700.0,7.2,55.6,29.6,79347.0,5.2,14933.0,80.1,5.0,7.0,5.7,508100.0,1338.0
156,La Palma,2013,Orange,0.696078431372549,0.7802547770700636,"(0.65, 0.8]",Good,Good,15479.0,40.9,15.6,31.8,5.2,43.6,7433.0,7148.0,285.0,3.8,54.4,30.1,89788.0,6.2,4858.0,77.7,9.0,8.5,6.4,615500.0,1256.0
157,La Puente,2013,Los Angeles,0.5789473684210527,0.6953223767383059,"(0.5, 0.65]",Good,Okay,40075.0,29.8,86.7,5.4,0.1,7.3,18933.0,17460.0,1473.0,7.8,54.5,32.6,51023.0,12.0,9777.0,69.2,5.0,13.4,5.4,372300.0,1057.0
158,La Quinta,2013,Riverside,0.77,0.7772988505747126,"(0.65, 0.8]",Good,Good,35661.0,42.8,30.1,62.4,2.1,3.1,16815.0,15845.0,970.0,5.8,55.1,21.8,75358.0,9.3,20828.0,78.9,10.2,0.7,5.6,448600.0,1412.0
159,La Verne,2013,Los Angeles,0.6875,0.6683937823834196,"(0.65, 0.8]",Good,Good,31177.0,40.9,27.8,59.2,4.3,6.2,15782.0,14548.0,1234.0,7.8,57.6,28.7,77227.0,6.8,11393.0,65.1,8.0,2.7,5.9,512400.0,1171.0
160,Laguna Beach,2013,Orange,0.7204724409448819,0.731023102310231,"(0.65, 0.8]",Good,Good,22788.0,47.9,6.6,86.5,0.4,4.6,12818.0,12256.0,562.0,4.4,57.2,29.8,98634.0,7.5,13243.0,65.7,5.3,6.0,5.2,1000000.0,1771.0
161,Laguna Hills,2013,Orange,0.6982758620689655,0.6830357142857143,"(0.65, 0.8]",Good,Good,30416.0,40.7,21.9,62.6,0.8,10.2,16970.0,15698.0,1272.0,7.5,59.8,25.6,87337.0,8.5,11126.0,58.2,17.4,8.7,5.9,627600.0,1727.0
162,Laguna Niguel,2013,Orange,0.75,0.7734899328859061,"(0.65, 0.8]",Good,Good,62614.0,43.0,11.6,73.2,1.7,9.8,34119.0,31664.0,2455.0,7.2,60.9,27.3,97018.0,5.5,25805.0,56.8,20.2,4.5,5.9,748300.0,1737.0
163,Lake Elsinore,2013,Riverside,0.6132075471698113,0.5407725321888412,"(0.5, 0.65]",Okay,Okay,48644.0,28.3,46.6,39.7,5.5,4.7,23885.0,21271.0,2614.0,10.9,61.9,42.5,63726.0,12.4,15707.0,74.0,5.0,2.9,6.1,293700.0,1149.0
164,Lake Forest,2013,Orange,0.7924528301886792,0.8016528925619835,"(0.65, 0.8]",Great,Good,76724.0,37.9,22.4,59.0,1.5,13.2,43789.0,41346.0,2443.0,5.6,66.6,26.0,91040.0,5.3,28053.0,54.0,15.2,6.6,5.5,579000.0,1664.0
166,Lakeport,2013,Lake,0.7459016393442623,0.7612612612612613,"(0.65, 0.8]",Good,Good,4855.0,47.9,16.3,77.3,1.2,0.5,2068.0,1853.0,215.0,10.4,50.6,19.7,34340.0,12.6,2344.0,62.1,4.5,3.5,4.9,308400.0,860.0
167,Lakewood,2013,Los Angeles,0.71875,0.6732673267326732,"(0.65, 0.8]",Good,Good,79859.0,36.5,29.1,41.3,7.7,16.8,42570.0,39844.0,2726.0,6.4,64.4,27.3,77380.0,5.2,26597.0,82.7,3.5,6.9,5.6,499100.0,1388.0
168,Lancaster,2013,Los Angeles,0.71875,0.6724137931034483,"(0.65, 0.8]",Good,Good,149709.0,30.6,36.2,36.4,18.6,5.6,62077.0,55874.0,6203.0,10.0,51.5,31.1,51192.0,20.2,50235.0,69.5,1.6,6.2,5.9,252100.0,1081.0
169,Lathrop,2013,San Joaquin,0.7598039215686274,0.6231707317073171,"(0.65, 0.8]",Okay,Good,17040.0,30.1,45.5,24.2,4.8,22.4,8173.0,7120.0,1053.0,12.9,61.7,40.0,68226.0,8.3,5124.0,88.6,2.1,1.3,6.2,289800.0,1534.0
170,Lawndale,2013,Los Angeles,0.6323529411764706,0.6777251184834123,"(0.5, 0.65]",Good,Okay,32552.0,30.5,61.9,18.1,6.8,10.1,15952.0,14146.0,1806.0,11.3,58.3,25.5,48357.0,15.8,10376.0,52.3,14.0,10.3,4.3,439500.0,1264.0
171,Lemon Grove,2013,San Diego,0.574468085106383,0.48888888888888893,"(0.5, 0.65]",Low,Okay,25074.0,35.4,39.8,38.1,11.2,6.1,11528.0,10723.0,805.0,7.0,58.3,24.3,50839.0,16.4,9128.0,66.8,8.9,8.3,5.1,378000.0,1089.0
172,Lincoln,2013,Placer,0.8227848101265823,0.7784810126582278,"(0.8, 1.0]",Good,Great,37771.0,40.6,18.0,69.7,2.0,5.8,15537.0,14473.0,1064.0,6.8,46.4,29.2,73375.0,6.7,15547.0,89.3,2.1,1.2,5.8,395500.0,1402.0
173,Livermore,2013,Alameda,0.7710843373493976,0.7458563535911602,"(0.65, 0.8]",Good,Good,78520.0,38.7,19.2,66.4,1.9,9.0,43517.0,40548.0,2969.0,6.8,63.9,28.0,93988.0,5.6,29796.0,70.8,8.4,5.4,5.9,592500.0,1314.0
174,Lodi,2013,San Joaquin,0.689655172413793,0.6877637130801688,"(0.65, 0.8]",Good,Good,62225.0,34.2,33.2,57.4,1.4,6.0,28324.0,25631.0,2693.0,9.5,50.6,23.4,48695.0,15.8,22876.0,63.1,6.1,12.4,5.0,334000.0,986.0
175,Loma Linda,2013,San Bernardino,0.7717391304347826,0.7878787878787878,"(0.65, 0.8]",Good,Good,22837.0,35.9,27.2,41.1,4.7,24.6,11316.0,10551.0,765.0,6.8,53.2,18.9,56112.0,12.7,9484.0,46.6,7.4,9.2,4.6,348000.0,1100.0
176,Lomita,2013,Los Angeles,0.7264150943396226,0.7942583732057416,"(0.65, 0.8]",Good,Good,20186.0,37.8,35.9,41.1,2.6,14.4,10648.0,10161.0,487.0,4.6,61.3,25.4,62464.0,8.6,8238.0,49.1,9.2,19.1,4.4,532100.0,1139.0
177,Lompoc,2013,Santa Barbara,0.7049180327868851,0.7267441860465116,"(0.65, 0.8]",Good,Good,41864.0,32.0,49.0,37.2,6.3,3.5,18687.0,16866.0,1821.0,9.7,61.2,26.1,46932.0,18.9,14274.0,54.2,5.3,3.7,4.9,330600.0,917.0
178,Long Beach,2013,Los Angeles,0.743421052631579,0.7470119521912351,"(0.65, 0.8]",Good,Good,461823.0,32.6,40.3,29.4,12.9,13.1,239661.0,215520.0,24141.0,10.1,61.2,27.9,51173.0,19.1,175732.0,42.3,5.8,15.1,4.3,508900.0,1033.0
179,Loomis,2013,Placer,0.6451612903225806,0.5787037037037037,"(0.5, 0.65]",Okay,Okay,6501.0,43.7,4.2,88.9,0.2,5.2,3386.0,3328.0,58.0,1.7,59.7,26.7,74722.0,5.9,2613.0,85.4,5.8,0.0,6.0,384800.0,1213.0
180,Los Alamitos,2013,Orange,0.6481481481481481,0.6666666666666667,"(0.5, 0.65]",Good,Okay,11414.0,40.0,20.3,57.9,3.2,14.1,5792.0,5431.0,361.0,6.2,57.1,27.4,76528.0,5.6,4268.0,47.7,8.5,4.9,4.9,688400.0,1418.0
181,Los Altos,2013,Santa Clara,0.7045454545454546,0.7166666666666667,"(0.65, 0.8]",Good,Good,28409.0,45.4,5.8,67.7,0.2,21.2,12733.0,11958.0,775.0,6.1,49.1,21.3,149964.0,2.2,11097.0,83.6,5.0,6.1,6.7,1000000.0,2000.0
182,Los Altos Hills,2013,Santa Clara,0.8529411764705882,0.875,"(0.8, 1.0]",Great,Great,7858.0,48.8,1.5,63.2,0.2,33.5,3241.0,3132.0,109.0,3.4,36.1,23.0,219485.0,2.6,2839.0,98.3,0.3,0.5,8.5,1000000.0,2000.0
184,Los Gatos,2013,Santa Clara,0.6666666666666667,0.6508620689655172,"(0.65, 0.8]",Good,Good,28878.0,43.4,5.3,80.9,1.6,9.5,14455.0,13549.0,906.0,6.3,55.4,23.4,120971.0,3.5,12819.0,57.9,13.6,10.5,5.8,1000000.0,1637.0
185,Madera,2013,Madera,0.6224489795918368,0.6379310344827587,"(0.5, 0.65]",Okay,Okay,59006.0,27.4,73.9,19.2,3.1,2.5,24346.0,21267.0,3079.0,12.6,49.7,24.4,40889.0,25.7,17598.0,71.7,1.9,4.4,5.1,230300.0,841.0
187,Malibu,2013,Los Angeles,0.6141304347826086,0.6982758620689655,"(0.5, 0.65]",Good,Okay,12794.0,42.5,6.7,82.0,1.4,4.5,6163.0,5741.0,422.0,6.8,49.5,29.5,125202.0,6.3,6252.0,69.6,7.9,5.7,6.3,1000000.0,2000.0
188,Mammoth Lakes,2013,Mono,0.7301136363636365,0.7629179331306991,"(0.65, 0.8]",Good,Good,8005.0,31.8,34.5,61.6,1.2,0.4,5473.0,5163.0,310.0,5.7,80.8,12.1,54414.0,15.2,9385.0,24.6,3.0,12.1,4.1,729700.0,1091.0
189,Manteca,2013,San Joaquin,0.5892857142857143,0.5355450236966824,"(0.5, 0.65]",Okay,Okay,64959.0,32.4,36.8,49.0,3.2,6.5,32770.0,28907.0,3863.0,11.8,63.2,33.6,60944.0,9.1,23063.0,76.4,4.9,4.9,5.6,324900.0,1077.0
190,Maricopa,2013,Kern,0.5877192982456141,0.5207253886010363,"(0.5, 0.65]",Okay,Okay,1205.0,32.5,21.1,76.3,0.7,0.9,406.0,318.0,88.0,21.7,24.1,34.8,39464.0,33.8,428.0,40.2,0.7,0.0,5.1,87200.0,728.0
191,Marina,2013,Monterey,0.7536231884057971,0.7901234567901234,"(0.65, 0.8]",Good,Good,19529.0,35.3,26.9,36.1,7.4,17.2,10330.0,9660.0,670.0,6.5,62.3,24.1,51547.0,14.9,7687.0,45.8,9.4,9.5,4.7,514900.0,1054.0
193,Martinez,2013,Contra Costa,0.5983606557377048,0.5669642857142857,"(0.5, 0.65]",Okay,Okay,35622.0,43.1,14.0,70.8,4.1,7.4,19626.0,18164.0,1462.0,7.4,66.7,26.4,75679.0,7.9,15462.0,62.7,14.2,6.8,5.5,520800.0,1201.0
194,Maywood,2013,Los Angeles,0.5588235294117647,0.6942028985507246,"(0.5, 0.65]",Good,Okay,27515.0,26.9,97.5,1.3,0.5,0.7,12571.0,11052.0,1519.0,12.1,49.8,28.8,38740.0,22.5,6907.0,54.5,12.9,4.6,4.0,360200.0,941.0
195,McFarland,2013,Kern,0.5862068965517242,0.7931034482758621,"(0.5, 0.65]",Good,Okay,12302.0,25.5,89.2,7.1,1.2,0.9,4729.0,3919.0,810.0,17.1,49.8,27.4,35656.0,34.9,2693.0,84.0,2.0,2.3,5.2,163800.0,675.0
197,Mendota,2013,Fresno,0.375,0.5089285714285714,"(0.0, 0.5]",Okay,Low,10459.0,24.2,97.6,0.0,0.0,1.2,4122.0,3230.0,892.0,21.6,46.7,27.5,25216.0,44.6,2796.0,57.9,6.4,2.4,4.8,151000.0,603.0
198,Menlo Park,2013,San Mateo,0.7066666666666667,0.7391304347826086,"(0.65, 0.8]",Good,Good,31318.0,39.0,17.6,63.1,5.6,9.8,16826.0,15811.0,1015.0,6.0,60.3,22.1,107860.0,6.2,13313.0,55.2,7.9,10.6,5.2,1000000.0,1710.0
200,Millbrae,2013,San Mateo,0.6981132075471698,0.6666666666666667,"(0.65, 0.8]",Good,Good,21007.0,45.2,15.0,41.7,2.0,39.0,10654.0,10064.0,590.0,5.5,55.4,27.3,80763.0,5.9,8537.0,63.6,3.5,14.8,5.5,925300.0,1433.0
201,Milpitas,2013,Santa Clara,0.6031746031746031,0.5773195876288659,"(0.5, 0.65]",Okay,Okay,65150.0,35.7,16.4,17.3,2.8,59.1,33345.0,30912.0,2433.0,7.3,60.8,22.2,92694.0,5.8,19832.0,58.9,16.9,9.2,5.5,608000.0,1572.0
202,Mission Viejo,2013,Orange,0.6578947368421053,0.65,"(0.65, 0.8]",Okay,Good,92615.0,41.5,14.0,72.3,1.3,8.9,50280.0,47222.0,3058.0,6.1,59.7,25.7,95878.0,4.2,34441.0,72.4,12.0,5.6,6.1,622000.0,1694.0
203,Modesto,2013,Stanislaus,0.55,0.5181159420289856,"(0.5, 0.65]",Okay,Okay,201898.0,33.2,35.2,50.7,3.6,6.4,92867.0,81111.0,11756.0,12.7,56.5,25.4,50550.0,16.8,74012.0,69.6,4.3,5.8,5.3,282500.0,974.0
206,Monrovia,2013,Los Angeles,0.6666666666666667,0.6815286624203821,"(0.65, 0.8]",Good,Good,36616.0,37.5,37.4,41.7,6.9,11.2,20398.0,19182.0,1216.0,6.0,62.9,26.8,65477.0,9.8,14444.0,57.8,12.0,8.9,4.7,561000.0,1220.0
207,Montclair,2013,San Bernardino,0.6538461538461539,0.5771812080536913,"(0.65, 0.8]",Okay,Good,36704.0,30.1,67.4,15.4,4.4,10.3,18489.0,15607.0,2882.0,15.6,59.8,29.5,53870.0,15.2,9692.0,58.8,4.8,4.2,5.2,330900.0,1040.0
